date,station,station_name,tmax_f,tmin_f,tavg_f,precip_in,snow_in,wind_avg_mph,wind_gust_mph,visibility_mi,weather_condition,is_precipitation,is_snow,is_fog,is_severe
2024-01-01,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,40.8,34.4,37.6,0.55,0.0,7.8,10.6,3.0,Rain,1,0,0,0
2024-01-02,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.2,35.0,44.6,0.0,0.0,8.5,11.8,9.9,Clear,0,0,0,0
2024-01-03,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.6,27.8,37.7,0.0,0.0,12.9,21.0,8.4,Clear,0,0,0,0
2024-01-04,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,49.5,34.8,42.1,0.13,0.0,10.2,14.3,1.8,Drizzle,1,0,0,0
2024-01-05,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.0,34.2,40.6,0.0,0.0,11.4,16.6,7.6,Clear,0,0,0,0
2024-01-06,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,44.0,31.7,37.9,0.0,0.0,12.8,17.1,7.1,Clear,0,0,0,0
2024-01-07,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,60.4,34.1,47.3,0.0,0.0,8.5,10.8,8.3,Clear,0,0,0,0
2024-01-08,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,62.2,36.7,49.4,1.33,0.0,8.5,11.2,3.5,Rain,1,0,0,0
2024-01-09,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,39.0,33.4,36.2,0.12,0.0,8.1,12.0,7.0,Drizzle,1,0,0,0
2024-01-10,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,60.6,36.4,48.5,0.0,0.0,14.6,23.5,7.6,Clear,0,0,0,0
2024-01-11,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,58.1,38.0,48.1,0.04,0.0,10.5,17.7,1.9,Drizzle,1,0,0,0
2024-01-12,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,44.6,33.3,39.0,0.19,0.0,14.0,24.9,3.9,Drizzle,1,0,0,0
2024-01-13,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,50.1,34.6,42.4,0.04,0.0,10.2,13.6,2.1,Drizzle,1,0,0,0
2024-01-14,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,46.0,34.5,40.2,0.0,0.0,13.5,21.9,8.1,Clear,0,0,0,0
2024-01-15,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,51.7,27.4,39.5,0.0,0.0,5.6,7.1,8.9,Clear,0,0,0,0
2024-01-16,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,46.0,35.2,40.6,0.0,0.0,11.6,14.6,8.8,Clear,0,0,0,0
2024-01-17,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,45.5,32.9,39.2,0.0,0.0,11.0,19.5,7.3,Clear,0,0,0,0
2024-01-18,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,46.3,19.5,32.9,0.0,0.0,8.1,12.4,8.7,Clear,0,0,0,0
2024-01-19,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,33.0,22.0,27.5,0.3,1.5,10.6,13.1,1.7,Snow,1,1,0,0
2024-01-20,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,52.1,28.8,40.5,0.0,0.0,8.6,11.3,7.6,Clear,0,0,0,0
2024-01-21,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,51.4,36.6,44.0,0.0,0.0,8.0,12.5,7.7,Clear,0,0,0,0
2024-01-22,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,41.7,28.6,35.1,0.0,0.0,12.0,17.3,7.5,Clear,0,0,0,0
2024-01-23,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,49.6,28.8,39.2,0.0,0.0,13.9,20.2,9.3,Clear,0,0,0,0
2024-01-24,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,55.1,36.1,45.6,0.0,0.0,10.9,16.0,9.4,Clear,0,0,0,0
2024-01-25,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.5,33.3,43.9,0.0,0.0,13.0,23.1,7.7,Clear,0,0,0,0
2024-01-26,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.9,37.0,42.5,0.54,0.0,6.9,11.9,2.5,Rain,1,0,0,0
2024-01-27,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,45.2,42.4,43.8,0.0,0.0,9.4,13.1,8.5,Clear,0,0,0,0
2024-01-28,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.2,35.2,44.7,0.0,0.0,11.5,18.7,7.5,Clear,0,0,0,0
2024-01-29,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,55.0,34.6,44.8,0.61,0.0,12.9,22.2,3.2,Rain,1,0,0,0
2024-01-30,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,48.0,36.8,42.4,0.03,0.0,13.7,22.1,4.8,Drizzle,1,0,0,0
2024-01-31,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,46.5,34.1,40.3,0.0,0.0,12.9,21.6,8.3,Clear,0,0,0,0
2024-02-01,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,56.0,39.7,47.8,0.0,0.0,6.5,8.9,9.7,Clear,0,0,0,0
