OBJECTID,LINKID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_SOURCE_ID,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,DATA_CUSTODIAN_EMAIL,METADATA_URL,Shape__Length
28,654171,2021/01/01 05:00:00+00,Ingleside RD (NP - City of Norfolk),S-VA122NP INGLESIDE RD,6958,122-8639 Ingleside Rd,Va Beach Blvd,Princess Anne Rd,15000,G,96.09314,0.68634,1.5533,0.93642,0.7308,0,F,0.0839,F,0.5116,16000,G,Master Non-Prime,1.622,City of Norfolk,1.69,City of Norfolk,0.28023,0.04615,654171,1,5,400000,Ingleside RD (NP - City of Norfolk) - ADT 15000,Hampton Roads,Hampton Roads,ST,9138126,,,141.408070157597
43,779941,2016/04/05 04:00:00+00,SC-1601N (York County),R-VA099SC01601NB,  9901601     ,99-1601 Quaker Meeting House Rd,99-602 Fenton Mill Rd,"99-1602 S, Penn Dr",650,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.23,York County,,,779941,1,1,48000,SC-1601N (York County) - ADT 650,Hampton Roads,Hampton Roads,SC,1828558,,,489.726495342113
57,794801,2016/04/12 04:00:00+00,SC-1267N (James City County),R-VA047SC01267NB,  4701267     ,47-1267 Eagles Watch,47-1266 Oak Tree Crest,Cul-de-Sac,100,R,,,,,,,X,,X,,,X,Bidirectional,0.07,James City County,0.14,James City County,,,794801,1,1,48000,SC-1267N (James City County) - ADT 100,Hampton Roads,Hampton Roads,SC,2563533,,,119.566899443384
58,680544,2021/01/01 05:00:00+00,VA-132S,R-VA   SR00132SB,  SR00132S    ,VA 132 N.Henry St,SR 132 Y,York County Line,6300,G,96.52929,0.7334,1.79734,0.61977,0.32022,0,F,0.0905,F,0.5307,6700,G,Master Non-Prime,2.67,City of Williamsburg,2.83,City of Williamsburg,0.17195,0,680544,1,2,400000,VA-132S - ADT 6300,Hampton Roads,Hampton Roads,SR,2402142,,,290.114664805837
68,050218,2021/01/01 05:00:00+00,I-264E,R-VA   IS00264EB,  IS00264E    ,I-264 EB Virginia Beach Norfolk Expwy,Lynnhaven Pkwy,London Bridge Rd,121000,G,95.0509,0.43373,0.84224,0.83151,2.84265,0.00105,F,0.0796,F,0.516,129000,G,Master Prime,20.48,Princess Anne Maintenance Area,21.02,Princess Anne Maintenance Area,0.16,0.03662,50218,1,1,4000000,I-264E - ADT 121000,Hampton Roads,Hampton Roads,IS,1830586,,,1082.60144532676
74,780076,2019/05/07 04:00:00+00,SC-1680N (York County),R-VA099SC01680NB,  9901680     ,99-1680 Windy Shore Dr,99-1683 Timber Court,"99-1682 N, Cattail Lane",830,R,,,,,,,X,,X,,,X,Bidirectional,0.18,York County,0.2,York County,,,780076,1,1,24000,SC-1680N (York County) - ADT 830,Hampton Roads,Hampton Roads,SC,1829980,,,40.5824284940976
111,756521,2016/06/06 04:00:00+00,SC-1002N (Northampton County),R-VA065SC01002NB,  6501002     ,65-1002 Front St,65-1001 Bank Ave,Bus US 13,680,R,,,,,,,X,,X,,,X,Bidirectional,0.09,Northampton County,0.31,Northampton County,,,756521,1,1,48000,SC-1002N (Northampton County) - ADT 680,Hampton Roads,Hampton Roads,SC,2019101,,,530.59437132182
116,050399,2021/01/01 05:00:00+00,VA-132S,R-VA   SR00132SB,  SR00132S    ,VA 132,NCL Williamsburg,US 60,6300,N,96.52929,0.7334,1.79734,0.61977,0.32022,0,F,0.0905,F,0.5307,6700,N,Master Non-Prime,2.83,York County,2.93,York County,0.17195,0,50399,1,2,400000,VA-132S - ADT 6300,Hampton Roads,Hampton Roads,SR,2402142,,,190.164626556345
117,779403,2016/03/23 04:00:00+00,SC-1202N (York County),R-VA099SC01202NB,  9901202     ,99-1202 Dogwood Ct,99-1207 Redbud Lane,Dead End,110,R,,,,,,,X,,X,,,X,Bidirectional,0.18,York County,0.34,York County,,,779403,1,1,24000,SC-1202N (York County) - ADT 110,Hampton Roads,Hampton Roads,SC,2038454,,,176.744572405076
120,790959,2021/01/01 05:00:00+00,SC-5000S (James City County),R-VA047SC05000SB,  4705000S    ,47-5000 Monticello Ave,47-613 News Rd,SR 199,39000,G,98.30686,0.4263,0.55902,0.51478,0.19303,0,F,0.0873,F,0.5719,41000,G,Master Non-Prime,3.46,James City County,3.93,James City County,0.06897,0.01222,790959,1,2,400000,SC-5000S (James City County) - ADT 39000,Hampton Roads,Hampton Roads,SC,2380952,,,810.823318081735
